iter	RMSE
0	13.99348315
1	13.08679896
2	12.24911066
3	11.53058054
4	10.84207334
5	10.30180643
6	9.78256195
7	9.383051568
8	8.99755936
9	8.583469865
10	8.227667947
11	7.929112785
12	7.684630471
13	7.424891669
14	7.201854992
15	6.982008334
16	6.825014781
17	6.660105229
18	6.506800805
19	6.376253871
20	6.266699941
21	6.183713198
22	6.095001646
23	6.017210026
24	5.926879154
25	5.869115164
26	5.794295297
27	5.736659494
28	5.688737334
29	5.646276694
30	5.60024339
31	5.562148648
32	5.518152613
33	5.469872589
34	5.45057841
35	5.428112506
36	5.402930191
37	5.378422269
38	5.357370046
39	5.323772692
40	5.299500716
41	5.281272066
42	5.263540736
43	5.254240202
44	5.239421602
45	5.217876804
46	5.196339687
47	5.173762601
48	5.157351931
49	5.145163366
50	5.132132849
51	5.121703354
52	5.117554392
53	5.110919902
54	5.099775896
55	5.081971316
56	5.063256046
57	5.046093491
58	5.032051633
59	5.018495584
60	5.008909962
61	4.99771367
62	4.989916869
63	4.981820588
64	4.960666189
65	4.94706364
66	4.938906099
67	4.920677053
68	4.903676084
69	4.897635401
70	4.889952833
71	4.882302534
72	4.873750572
73	4.865386403
74	4.857493367
75	4.848032763
76	4.839634573
77	4.826534384
78	4.81907123
79	4.811944485
80	4.807339578
81	4.79836765
82	4.776924133
83	4.768244651
84	4.761240486
85	4.751984925
86	4.733949017
87	4.727594275
88	4.713457982
89	4.706779065
90	4.696353448
91	4.685069481
92	4.679105072
93	4.669998076
94	4.655194439
95	4.6402433
96	4.620675835
97	4.617949274
98	4.611545659
99	4.59686047
