iter	Passed	Remaining
0	1	132
1	2	122
2	3	119
3	4	117
4	6	116
5	7	116
6	8	115
7	9	114
8	11	111
9	12	108
10	13	105
11	14	103
12	15	100
13	16	99
14	17	96
15	18	95
16	19	93
17	19	90
18	20	89
19	21	87
20	22	85
21	23	83
22	24	81
23	25	79
24	25	77
25	26	76
26	27	74
27	28	73
28	29	71
29	30	70
30	30	68
31	31	66
32	32	65
33	32	63
34	33	62
35	34	60
36	34	59
37	35	58
38	36	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	39
53	45	38
54	46	37
55	47	36
56	47	36
57	48	35
58	49	34
59	49	33
60	50	32
61	50	31
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	63	13
82	64	13
83	65	12
84	65	11
85	66	10
86	66	10
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
